Supplier,CreatedOn,CompletedDate,Time_To_Complete,Total,Guid,SupplierCode,SupplierName
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-06-20,2018-07-05,15 days 00:11:31.844000000,2814.95,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-20,2018-07-05,14 days 19:44:56.788000000,2308.8,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-06-20,2018-07-05,14 days 23:02:21.664000000,0.0,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-06-20,2018-06-26,5 days 22:46:14.726000000,856.76,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-21,2018-07-05,14 days 03:07:08.999000000,6182.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-21,2018-07-05,14 days 02:42:57.493000000,966.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '9fee1e28-20f3-49c8-8b85-d368f2f62baa', 'SupplierCode': 'Pallmann', 'SupplierName': 'Uzin Utz North America, Inc.'}",2018-06-21,2018-06-26,5 days 05:12:50.971000000,5050.62,9fee1e28-20f3-49c8-8b85-d368f2f62baa,Pallmann,"Uzin Utz North America, Inc."
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-06-21,2018-06-22,1 days 00:19:41.993000000,983.36,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-06-21,2018-06-21,0 days 00:05:37.004000000,139.2,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-21,2018-07-05,13 days 23:10:37.508000000,4288.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-06-21,2018-06-21,0 days 01:57:38.851000000,175.73,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-06-21,2018-09-13,84 days 02:04:18.618000000,6590.0,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-06-22,2018-08-02,40 days 23:36:12.772000000,864.0,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-06-22,2018-06-26,4 days 02:45:27.073000000,693.26,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-22,2018-07-05,12 days 22:35:39.754000000,1916.46,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-22,2018-08-17,55 days 18:06:35.670000000,2803.17,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-25,2018-07-05,10 days 02:26:10.407000000,115.2,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-25,2018-07-05,9 days 21:06:34.638000000,1290.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-25,2018-07-05,9 days 20:41:44.628000000,1326.2,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '104f923f-75d9-4f9f-8dab-86bdda44ac00', 'SupplierCode': 'BENO J. GUNDLACH CO.', 'SupplierName': 'BENO J. GUNDLACH CO.'}",2018-06-25,2018-07-16,20 days 21:02:17.602000000,711.26,104f923f-75d9-4f9f-8dab-86bdda44ac00,BENO J. GUNDLACH CO.,BENO J. GUNDLACH CO.
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-06-25,2018-07-06,10 days 21:16:57.092000000,430.2,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '85ddebcf-8d4c-4bf9-9d22-ee379b48f192', 'SupplierCode': 'SHERWIN-WILLIAMS CO', 'SupplierName': 'SHERWIN-WILLIAMS CO'}",2018-06-26,2018-07-12,16 days 07:35:17.584000000,4347.18,85ddebcf-8d4c-4bf9-9d22-ee379b48f192,SHERWIN-WILLIAMS CO,SHERWIN-WILLIAMS CO
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-06-26,2018-07-12,16 days 03:29:25.166000000,1348.97,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-06-26,2018-07-02,6 days 01:15:39.086000000,367.2,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': '13d61cd0-5628-459e-83df-4f858235660e', 'SupplierCode': 'RUBIO MONOCOAT USA, LLC', 'SupplierName': 'RUBIO MONOCOAT USA, LLC'}",2018-06-26,2018-06-28,1 days 22:43:35.981000000,3.2,13d61cd0-5628-459e-83df-4f858235660e,"RUBIO MONOCOAT USA, LLC","RUBIO MONOCOAT USA, LLC"
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-06-26,2018-07-03,7 days 03:45:22.277000000,71.68,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': 'b38a2275-88f0-40a0-b32c-184c98da6c35', 'SupplierCode': 'SHEOGA HARDWOOD FLOORING', 'SupplierName': 'SHEOGA HARDWOOD FLOORING'}",2018-06-26,2018-08-06,41 days 03:06:51.581000000,570.4,b38a2275-88f0-40a0-b32c-184c98da6c35,SHEOGA HARDWOOD FLOORING,SHEOGA HARDWOOD FLOORING
"{'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}",2018-06-26,2018-07-09,12 days 21:04:05.142000000,829.08,b5959c5d-be6e-4a0b-a39a-096cd21ed82f,3M Company,3M Company
"{'Guid': 'd320ea27-5022-44fe-b03a-7038f3e85d65', 'SupplierCode': 'American OEM', 'SupplierName': 'American OEM'}",2018-06-26,2018-07-24,27 days 18:14:05.821000000,2000.0,d320ea27-5022-44fe-b03a-7038f3e85d65,American OEM,American OEM
"{'Guid': 'f0433f30-c232-44cd-a2b6-690e334d461e', 'SupplierCode': 'Superior Hardwood Flooring', 'SupplierName': 'Superior Hardwood Flooring'}",2018-06-26,2018-07-09,12 days 19:27:08.138000000,4028.0,f0433f30-c232-44cd-a2b6-690e334d461e,Superior Hardwood Flooring,Superior Hardwood Flooring
"{'Guid': '1a6ac0d7-b0d4-41f5-864a-ac72ce683ff2', 'SupplierCode': 'PALO DURO HARDWOODS, INC.', 'SupplierName': 'PALO DURO HARDWOODS, INC.'}",2018-06-26,2018-07-02,5 days 23:45:04.738000000,0.0,1a6ac0d7-b0d4-41f5-864a-ac72ce683ff2,"PALO DURO HARDWOODS, INC.","PALO DURO HARDWOODS, INC."
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-27,2018-07-05,8 days 03:47:07.435000000,4854.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-06-27,2018-07-12,15 days 04:41:43.481000000,127.05,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': 'f0433f30-c232-44cd-a2b6-690e334d461e', 'SupplierCode': 'Superior Hardwood Flooring', 'SupplierName': 'Superior Hardwood Flooring'}",2018-06-27,2018-07-09,12 days 01:17:36.738000000,17.85,f0433f30-c232-44cd-a2b6-690e334d461e,Superior Hardwood Flooring,Superior Hardwood Flooring
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-27,2018-07-13,16 days 01:05:41.578000000,33.74,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-06-27,2018-07-16,19 days 01:57:20.876000000,72.8,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': 'b38a2275-88f0-40a0-b32c-184c98da6c35', 'SupplierCode': 'SHEOGA HARDWOOD FLOORING', 'SupplierName': 'SHEOGA HARDWOOD FLOORING'}",2018-06-27,2018-08-06,40 days 03:01:21.335000000,23887.5,b38a2275-88f0-40a0-b32c-184c98da6c35,SHEOGA HARDWOOD FLOORING,SHEOGA HARDWOOD FLOORING
"{'Guid': '4e8c97f3-3d31-4081-a73c-4104aea3b9a9', 'SupplierCode': 'Franklin International', 'SupplierName': 'Franklin International'}",2018-06-27,2018-07-03,6 days 01:39:51.348000000,3374.28,4e8c97f3-3d31-4081-a73c-4104aea3b9a9,Franklin International,Franklin International
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-27,2018-07-13,15 days 21:14:03.262000000,3744.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'e3392871-d37c-4d7b-aa63-fd636e28ba38', 'SupplierCode': 'STARECASING', 'SupplierName': 'STARECASING'}",2018-06-27,2018-07-19,21 days 21:54:12.790000000,518.21,e3392871-d37c-4d7b-aa63-fd636e28ba38,STARECASING,STARECASING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-27,2018-07-13,15 days 20:18:20.578000000,401.6,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-28,2018-07-05,7 days 01:16:51.406000000,5894.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-28,2018-07-13,14 days 23:59:03.109000000,5894.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-06-28,2018-07-03,4 days 20:40:47.403000000,77.74,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': '1a6ac0d7-b0d4-41f5-864a-ac72ce683ff2', 'SupplierCode': 'PALO DURO HARDWOODS, INC.', 'SupplierName': 'PALO DURO HARDWOODS, INC.'}",2018-06-28,2018-07-09,10 days 19:05:46.360000000,17.12,1a6ac0d7-b0d4-41f5-864a-ac72ce683ff2,"PALO DURO HARDWOODS, INC.","PALO DURO HARDWOODS, INC."
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-06-28,2018-07-10,11 days 22:09:13.209000000,342.3,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-29,2018-07-13,14 days 04:29:50.565000000,6182.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'b5959c5d-be6e-4a0b-a39a-096cd21ed82f', 'SupplierCode': '3M Company', 'SupplierName': '3M Company'}",2018-06-29,2018-07-09,10 days 03:08:55.036000000,655.2,b5959c5d-be6e-4a0b-a39a-096cd21ed82f,3M Company,3M Company
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-06-29,2018-07-10,11 days 04:27:14.239000000,2318.19,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-06-29,2018-07-13,14 days 01:22:27.285000000,3405.78,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-06-29,2018-07-06,7 days 01:44:01.202000000,2541.9,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-06-29,2018-07-16,16 days 22:49:39.042000000,43.68,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': 'e462cc98-230f-4dcb-803a-fcadaf1369d1', 'SupplierCode': 'Ohio Valley Flooring', 'SupplierName': 'Ohio Valley Flooring'}",2018-07-02,2018-07-12,10 days 00:22:31.152000000,188.76,e462cc98-230f-4dcb-803a-fcadaf1369d1,Ohio Valley Flooring,Ohio Valley Flooring
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-07-02,2018-07-13,11 days 00:09:56.347000000,4340.0,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-07-02,2018-07-12,10 days 04:03:19.140000000,208.8,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-07-02,2018-07-26,24 days 03:36:08.316000000,2728.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '042f88d1-f621-4177-9d78-f87826d6b9c6', 'SupplierCode': 'From the Forest, LLC', 'SupplierName': 'From the Forest, LLC'}",2018-07-02,2018-09-25,84 days 09:03:37.129000000,2951.65,042f88d1-f621-4177-9d78-f87826d6b9c6,"From the Forest, LLC","From the Forest, LLC"
"{'Guid': '674c4ed6-6a2c-40bf-b7bc-a7eb69bba746', 'SupplierCode': 'GRILL WORKS, INC.', 'SupplierName': 'GRILL WORKS, INC.'}",2018-07-02,2018-07-17,14 days 18:21:08.965000000,203.84,674c4ed6-6a2c-40bf-b7bc-a7eb69bba746,"GRILL WORKS, INC.","GRILL WORKS, INC."
"{'Guid': '1a6ac0d7-b0d4-41f5-864a-ac72ce683ff2', 'SupplierCode': 'PALO DURO HARDWOODS, INC.', 'SupplierName': 'PALO DURO HARDWOODS, INC.'}",2018-07-02,2018-07-02,0 days 00:01:53.853000000,13.59,1a6ac0d7-b0d4-41f5-864a-ac72ce683ff2,"PALO DURO HARDWOODS, INC.","PALO DURO HARDWOODS, INC."
"{'Guid': 'ba48c6a8-fe8d-4c8f-b676-12e1ff706f02', 'SupplierCode': 'REAL WOOD FLOORS', 'SupplierName': 'REAL WOOD FLOORS'}",2018-07-03,2018-07-09,6 days 04:01:29.416000000,165.62,ba48c6a8-fe8d-4c8f-b676-12e1ff706f02,REAL WOOD FLOORS,REAL WOOD FLOORS
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-07-03,2018-07-03,0 days 04:13:07.216000000,8271.06,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-07-03,2018-07-24,20 days 22:01:09.375000000,3453.84,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-07-03,2018-07-13,9 days 23:02:14.625000000,979.2,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-07-03,2018-07-13,9 days 21:17:15.300000000,1719.2,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-07-03,2018-07-03,0 days 00:06:21.380000000,138.0,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': 'ab8f9204-aa58-47e7-8a9e-5c83372480e7', 'SupplierCode': 'SAINT-GOBAIN ABRASIVES, INC.', 'SupplierName': 'SAINT-GOBAIN ABRASIVES, INC.'}",2018-07-03,2018-07-09,5 days 21:23:42.880000000,161.0,ab8f9204-aa58-47e7-8a9e-5c83372480e7,"SAINT-GOBAIN ABRASIVES, INC.","SAINT-GOBAIN ABRASIVES, INC."
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-07-03,2018-07-24,20 days 17:47:30.645000000,1343.16,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-07-03,2018-07-13,9 days 20:11:50.448000000,675.4,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '8b08e795-c905-4ddb-a072-c302f700a4b8', 'SupplierCode': 'WICKHAM HARDWOOD FLOORING', 'SupplierName': 'WICKHAM HARDWOOD FLOORING'}",2018-07-05,2018-07-26,21 days 07:01:35.643000000,62.49,8b08e795-c905-4ddb-a072-c302f700a4b8,WICKHAM HARDWOOD FLOORING,WICKHAM HARDWOOD FLOORING
"{'Guid': '13d61cd0-5628-459e-83df-4f858235660e', 'SupplierCode': 'RUBIO MONOCOAT USA, LLC', 'SupplierName': 'RUBIO MONOCOAT USA, LLC'}",2018-07-05,2018-07-12,7 days 01:31:49.093000000,2832.0,13d61cd0-5628-459e-83df-4f858235660e,"RUBIO MONOCOAT USA, LLC","RUBIO MONOCOAT USA, LLC"
"{'Guid': '9f09a640-5bf9-435c-ab85-e49db47d014e', 'SupplierCode': 'Artistic Finishes', 'SupplierName': 'Artistic Finishes'}",2018-07-05,2018-07-16,10 days 20:33:42.699000000,76.42,9f09a640-5bf9-435c-ab85-e49db47d014e,Artistic Finishes,Artistic Finishes
"{'Guid': '042f88d1-f621-4177-9d78-f87826d6b9c6', 'SupplierCode': 'From the Forest, LLC', 'SupplierName': 'From the Forest, LLC'}",2018-07-05,2018-07-30,24 days 21:42:34.880000000,871.59,042f88d1-f621-4177-9d78-f87826d6b9c6,"From the Forest, LLC","From the Forest, LLC"
"{'Guid': '525ae327-d3dd-4d28-a396-5a76f17712c1', 'SupplierCode': 'JOHNSON PREMIUM HARDWOOD', 'SupplierName': 'JOHNSON PREMIUM HARDWOOD'}",2018-07-05,2018-07-06,0 days 23:20:45.109000000,342.16,525ae327-d3dd-4d28-a396-5a76f17712c1,JOHNSON PREMIUM HARDWOOD,JOHNSON PREMIUM HARDWOOD
"{'Guid': '97358c1d-d9ff-4af3-8513-ce250880293d', 'SupplierCode': 'PAW ENTERPRISES', 'SupplierName': 'PAW ENTERPRISES'}",2018-07-05,2018-07-05,0 days 00:02:27.058000000,128.7,97358c1d-d9ff-4af3-8513-ce250880293d,PAW ENTERPRISES,PAW ENTERPRISES
"{'Guid': '97358c1d-d9ff-4af3-8513-ce250880293d', 'SupplierCode': 'PAW ENTERPRISES', 'SupplierName': 'PAW ENTERPRISES'}",2018-07-05,2018-07-05,0 days 00:01:58.945000000,292.35,97358c1d-d9ff-4af3-8513-ce250880293d,PAW ENTERPRISES,PAW ENTERPRISES
